0001. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932000, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0370
0002. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932000, Old Node: 1dd6d5c0250, New Node: 0
0003. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932000, Old Node: 0, New Node: 1dd6d5c02d0
0004. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932000, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0250
0005. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932000, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0310
0006. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932000, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0150
0007. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c1e10, New Node: 1dd6d5c0410
0008. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c1e30
0009. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c1e30, New Node: 1dd6d5c0410
0010. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c02d0
0011. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0410
0012. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c0250
0013. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0410
0014. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c02d0
0015. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0410
0016. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c0450
0017. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0410
0018. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c1e10
0019. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0170
0020. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0250
0021. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0370
0022. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0310
0023. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0450
0024. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0390
0025. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c0450
0026. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0310
0027. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0370
0028. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0250
0029. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0170
0030. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0250
0031. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0310
0032. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0370
0033. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0390
0034. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c03b0
0035. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c03b0, New Node: 1dd6d5c0390
0036. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c0370
0037. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0310
0038. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0250
0039. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0170
0040. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0250
0041. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0310
0042. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0450
0043. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0370
0044. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0390
0045. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c0370
0046. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0450
0047. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0310
0048. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0250
0049. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0170
0050. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0310
0051. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0370
0052. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0250
0053. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0450
0054. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0410
0055. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c0450
0056. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0250
0057. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0370
0058. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0310
0059. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0170
0060. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0250
0061. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0310
0062. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0370
0063. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0390
0064. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c03b0
0065. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c03b0, New Node: 1dd6d5c0390
0066. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c0370
0067. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0310
0068. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0250
0069. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0170
0070. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0310
0071. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c03f0
0072. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c03f0, New Node: 1dd6d5c0250
0073. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0370
0074. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0390
0075. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c0370
0076. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0250
0077. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c03f0
0078. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c03f0, New Node: 1dd6d5c0310
